Occupation,Occupation code,Total fatal injuries (number),Violence and other injuries by persons or animals,Transportation incidents,Fires and explosions,"Falls, slips, trips",Exposure to harmful substances or environments,Contact with objects and equipment
Motor vehicle operators,53-3000,1198,76,943,0,35,65,72
"Ambulance drivers and attendants, except emergency medical technicians",53-3010,1,0,1,0,0,0,0
"Ambulance drivers and attendants, except emergency medical technicians",53-3011,1,0,1,0,0,0,0
Driver/sales workers and truck drivers,53-3030,1115,47,895,0,33,62,71
Driver/sales workers,53-3031,86,15,63,0,0,0,0
Heavy and tractor-trailer truck drivers,53-3032,934,29,747,0,27,56,0
Light truck drivers,53-3033,95,3,85,0,0,0,0
Passenger vehicle drivers,53-3050,68,28,35,0,0,0,0
"Bus drivers, school",53-3051,8,0,0,0,0,0,0
"Bus drivers, transit and intercity",53-3052,9,0,0,0,0,0,0
Shuttle drivers and chauffeurs,53-3053,11,0,7,0,0,0,0
Taxi drivers,53-3054,40,0,0,0,0,0,0
Miscellaneous motor vehicle operators,53-3090,14,0,12,0,0,0,0
Rail transportation workers,53-4000,8,0,0,0,0,0,0
Water transportation workers,53-5000,23,0,11,0,0,0,6
Ship and boat captains and operators,53-5020,11,0,6,0,0,0,0
"Captains, mates, and pilots of water vessels",53-5021,11,0,6,0,0,0,0
Other transportation workers,53-6000,12,0,0,0,0,0,0
Parking attendants,53-6020,4,0,0,0,0,0,0
Parking attendants,53-6021,4,0,0,0,0,0,0
Material moving workers,53-7000,281,0,87,0,38,63,55
Crane and tower operators,53-7020,12,0,0,0,0,3,0
Crane and tower operators,53-7021,12,0,0,0,0,3,0
Dredge operators,53-7030,1,0,0,0,0,0,0
Dredge operators,53-7031,1,0,0,0,0,0,0
Industrial truck and tractor operators,53-7050,56,0,27,0,0,15,9
Industrial truck and tractor operators,53-7051,56,0,27,0,0,15,9
Laborers and material movers,53-7060,182,0,39,0,33,42,38
Cleaners of vehicles and equipment,53-7061,10,0,4,0,0,0,0
"Laborers and freight, stock, and material movers, hand",53-7062,142,0,35,0,24,32,34
"Packers and packagers, hand",53-7064,8,0,0,0,0,0,0
Stockers and order fillers,53-7065,22,0,0,0,0,6,0
Refuse and recyclable material collectors,53-7080,22,0,16,0,0,0,0
Refuse and recyclable material collectors,53-7081,22,0,16,0,0,0,0
Miscellaneous material moving workers,53-7190,3,0,0,0,0,0,0
